Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,Defaulted,Address,DebtIncomeRatio
1,41,2,6,19000,124,1073,0,NBA001,6.3
2,47,1,26,100000,4172.5,4172.5,0,NBA021,12.8
3,33,2,10,57000,4172.5,4172.5,1,NBA013,20.9
4,29,2,4,19000,681,516,0,NBA009,6.3
5,47,1,31,103375,4172.5,4172.5,0,NBA008,7.2
6,40,1,23,81000,998,4172.5,,NBA016,10.9
7,38,2,4,56000,442,454,0,NBA013,1.6
8,42,3,0,64000,279,3945,0,NBA009,6.6
9,26,1,5,18000,575,2215,,NBA006,15.5
10,47,3,23,103375,653,3947,0,NBA011,4
11,44,3,8,88000,285,4172.5,1,NBA010,6.1
12,34,2,9,40000,374,266,,NBA003,1.6
13,24,1,7,18000,526,643,0,NBA000,6.5
14,46,1,6,30000,1415,3865,,NBA019,17.6
15,28,3,2,20000,233,1647,1,NBA000,9.4
16,24,1,1,16000,185,1287,,NBA005,9.2
17,29,1,1,17000,132,293,0,NBA004,2.5
18,43,3.5,1,26000,1519,1237,0,NBA005,10.6
19,44,1,18,61000,2806,3782,,NBA000,10.8
20,36,1,16,32000,544,2944,,NBA013,10.9
21,29,2,6,25000,585,465,0,NBA009,4.2
22,36,3,10,43000,961,4172.5,0,NBA004,13
23,28,3,6,47000,4172.5,3732,1,NBA008,19.8
24,45,1,19,77000,2303,4165,0,NBA022,8.4
25,37,3.5,10,103375,3022,4172.5,0,NBA018,17.3
26,43,1,9,66000,2341,3467,,NBA008,8.8
27,24,1,4,21000,99,447,0,NBA002,2.6
28,37,1,19,38000,2591,2539,,NBA007,13.5
29,38,2,13,59000,408,1008,0,NBA000,2.4
30,34,2,9,45000,1118,3427,0,NBA013,10.1
31,40,3,18,100000,1485,1015,0,NBA006,2.5
32,42,2,12,55000,2533,4172.5,0,NBA009,15
33,23,2,0,42000,1019,619,1,NBA001,3.9
34,40,3,5,28000,1263,1537,,NBA018,10
35,28,1,12,45000,1854,1611,0,NBA007,7.7
36,33,2,5,37000,1029,2079,,NBA002,8.4
37,35,3,5,37000,581,1417,1,NBA003,5.4
38,37,1,0,18000,1584,738,1,NBA018,12.9
39,22,1,1,18000,270,522,0,NBA000,4.4
40,39,3,16,103375,1405,4172.5,,NBA010,6.8
41,20,1,4,14000,201,1157,1,NBA000,9.7
42,48,3,17,103375,3376,4172.5,0,NBA026,12
43,28,2,5,34000,3099,4172.5,0,NBA009,23.8
44,37,3.5,9,103375,888,4172.5,0,NBA016,5.9
45,48,1,3,27000,1403,4172.5,0,NBA011,21.3
46,45,3,9,84000,1276,4172.5,,NBA000,13.1
47,22,1,4,14000,225,2225,0,NBA003,17.5
48,30,1,4,21000,229,506,,NBA002,3.5
49,28,1,3,19000,261,518,0,NBA007,4.1
50,29,2,10,61000,798,2984,,NBA003,6.2
51,47,1,22,81000,1506,2949,0,NBA019,5.5
52,36,1,11,33000,1266,4172.5,0,NBA002,26.85
53,24,1,3,19000,1358,3278,1,NBA004,24.4
54,56,1,19,66000,847,1331,,NBA026,3.3
55,29,3,5,70000,3176,4172.5,1,NBA006,19.9
56,34,1,2,25000,573,2577,1,NBA011,12.6
57,32,1,1,20000,315,645,1,NBA000,4.8
58,27,3,2,26000,722,838,0,NBA007,6
59,40,1,9,64000,790,3434,0,NBA004,6.6
60,50,1,11,36000,835,893,0,NBA005,4.8
61,39,1,17,60000,2450,4172.5,0,NBA020,13.7
62,34,1,18,34000,2100,3136,0,NBA010,15.4
63,36,1,18,67000,4172.5,2259,0,NBA009,11.2
64,44,2,18,74000,4172.5,4172.5,0,NBA004,13.4
65,24,2,4,20000,324,416,0,NBA004,3.7
66,31,1,8,44000,1721,1799,0,NBA004,8
67,34,1,16,79000,1735,1425,0,NBA009,4
68,26,1,4,27000,2472,363,1,NBA003,10.5
69,38,1,3,23000,832,2549,0,NBA019,14.7
70,24,1,3,14000,838,1416,1,NBA000,16.1
71,30,3,8,61000,550,1158,0,NBA007,2.8
72,40,3.5,5,75000,885,540,0,NBA006,1.9
73,30,2,12,98000,2935,4121,0,NBA009,7.2
74,25,2,5,42000,3366,3144,,NBA003,15.5
75,29,1,9,33000,694,890,0,NBA002,4.8
76,33,1,5,18000,985,1337,0,NBA010,12.9
77,43,1,8,45000,677,808,0,NBA011,3.3
78,35,2,1,21000,370,1289,0,NBA001,7.9
79,41,2,21,103375,3237,4172.5,0,NBA022,12.2
80,46,2,18,55000,419,2001,,NBA018,4.4
81,33,1,12,68000,1366,4172.5,0,NBA012,10.8
82,30,3,0,65000,3900,4172.5,1,NBA008,26.85
83,40,3,18,103375,3326,4172.5,0,NBA014,6.6
84,38,1,1,42000,891,2931,,NBA009,9.1
85,49,2,11,51000,543,4172.5,0,NBA001,15
86,26,1,0,15000,386,424,,NBA002,5.4
87,22,3.5,0,25000,1491,1559,,NBA001,12.2
88,29,2,2,16000,433,1247,,NBA004,10.5
89,28,2,8,31000,1492,1050,1,NBA003,8.2
90,23,3.5,0,32000,818,4172.5,1,NBA004,18.4
91,37,2,11,75000,633,1992,0,NBA004,3.5
92,35,2,5,33000,103,821,0,NBA001,2.8
93,31,1,1,21000,277,248,1,NBA006,2.5
94,29,1,1,20000,569,3151,1,NBA002,18.6
95,34,3,7,27000,125,469,0,NBA000,2.2
96,47,2,7,49000,254,187,,NBA024,0.9
97,37,1,5,27000,419,2119,,NBA011,9.4
98,38,1,10,34000,36,372,0,NBA008,1.2
99,32,2,5,28000,2594,1550,1,NBA000,14.8
100,22,3,0,20000,219,721,0,NBA002,4.7
101,30,1,7,33000,1165,4172.5,1,NBA002,25.4
102,38,3.5,13,103375,4172.5,4172.5,,NBA002,13.7
103,36,1,20,60000,1056,2184,0,NBA015,5.4
104,44,1,5,48000,1970,2350,1,NBA003,9
105,27,2,4,22000,1086,1818,1,NBA003,13.2
106,47,1,19,50000,3176,4172.5,0,NBA007,26.85
107,41,1,7,32000,72,856,0,NBA022,2.9
108,25,1,8,27000,1019,2869,0,NBA004,14.4
109,33,2,10,54000,120,1500,,NBA002,3
110,42,3,13,82000,1315,1391,0,NBA000,3.3
111,36,1,14,53000,1888,1133,0,NBA017,5.7
112,25,3.5,0,32000,2140,3492,0,NBA002,17.6
113,30,1,10,39000,2056,1649,0,NBA011,9.5
114,24,1,0,16000,1009,1551,1,NBA002,16
115,32,1,7,23000,861,1393,,NBA010,9.8
116,39,2,9,32000,1430,682,0,NBA012,6.6
117,30,1,4,18000,227,1699,0,NBA002,10.7
118,33,1,16,46000,2400,1326,,NBA012,8.1
119,32,2,12,63000,4172.5,4172.5,0,NBA003,18.2
120,33,1,7,26000,543,1017,0,NBA006,6
121,29,2,6,21000,369,2046,0,NBA004,11.5
122,28,2,5,37000,1124,1947,0,NBA002,8.3
123,33,3.5,9,32000,496,1264,0,NBA008,5.5
124,39,2,16,53000,694,1267,0,NBA012,3.7
125,32,1,10,42000,1540,2282,0,NBA011,9.1
126,46,1,9,72000,828,2772,,NBA006,5
127,32,2,3,47000,429,464,0,NBA013,1.9
128,28,2,5,25000,339,386,0,NBA006,2.9
129,26,1,2,21000,1023,3135,0,NBA006,19.8
130,27,1,0,16000,183,89,0,NBA001,1.7
131,35,1,16,36000,179,1045,0,NBA015,3.4
132,35,1,16,57000,1143,4172.5,0,NBA010,10.5
133,31,2,6,25000,2332,543,0,NBA005,11.5
134,32,3,5,23000,326,709,0,NBA009,4.5
135,29,1,9,25000,1070,2405,0,NBA000,13.9
136,35,3.5,4,29000,1844,1346,0,NBA016,11
137,48,2,21,86000,146,886,,NBA014,1.2
138,24,1,4,19000,1185,905,,NBA000,11
139,44,1,12,31000,358,2649,0,NBA003,9.7
140,40,2,5,35000,1584,4156,1,NBA012,16.4
141,36,2,13,41000,2918,3806,1,NBA006,16.4
142,23,2,0,21000,455,1372,0,NBA004,8.7
143,26,2,8,40000,444,4172.5,0,NBA001,11.8
144,30,1,8,23000,762,1998,0,NBA006,12
145,34,1,12,68000,4172.5,4172.5,1,NBA005,25.1
146,28,3,2,30000,1522,4172.5,0,NBA005,19.9
147,37,1,18,58000,2868,3106,,NBA009,10.3
148,46,3,3,43000,3042,2634,1,NBA013,13.2
149,24,2,1,42000,838,1556,0,NBA002,5.7
150,25,2,6,26000,70,1100,0,NBA002,4.5
151,33,1,14,37000,199,763,0,NBA002,2.6
152,46,1,7,41000,585,4172.5,,NBA006,23.4
153,38,3,4,31000,1332,1551,1,NBA006,9.3
154,47,1,3,21000,68,3166,,NBA001,15.4
155,34,2,9,65000,2108,1922,0,NBA009,6.2
156,35,1,16,37000,4172.5,2151,,NBA000,17.2
157,39,1,22,103375,987,1951,0,NBA009,2.6
158,44,1,24,101000,2992,2664,0,NBA010,5.6
159,28,2,1,24000,1338,2766,1,NBA008,17.1
160,31,3,9,59000,3110,4172.5,1,NBA007,14.6
161,24,1,1,20000,325,495,,NBA000,4.1
162,36,3,13,39000,2801,4172.5,0,NBA003,19.2
163,35,2,14,82000,468,188,0,NBA003,0.8
164,31,1,11,47000,2864,2259,0,NBA012,10.9
165,28,2,6,22000,650,1880,0,NBA009,11.5
166,36,3.5,8,32000,25,487,0,NBA000,1.6
167,31,3,6,54000,402,1110,0,NBA008,2.8
168,30,1,11,27000,74,169,0,NBA009,0.9
169,26,1,10,24000,311,337,0,NBA006,2.7
170,48,3.5,3,45000,975,3435,0,NBA023,9.8
171,39,2,16,89000,4172.5,4172.5,0,NBA009,14.3
172,31,1,7,20000,111,2349,0,NBA002,12.3
173,31,3,9,28000,122,606,0,NBA002,2.6
174,27,3,3,45000,292,4172.5,1,NBA004,11
175,31,1,13,27000,238,1112,0,NBA012,5
176,53,1,0,27000,2754,4172.5,1,NBA026,26.85
177,40,1,15,55000,856,2169,0,NBA014,5.5
178,26,1,7,22000,209,913,0,NBA003,5.1
179,29,2,5,36000,3491,973,1,NBA004,12.4
180,52,1,19,89000,397,3786,0,NBA025,4.7
181,39,2,2,46000,4004,3356,1,NBA012,16
182,33,2,13,40000,181,2699,0,NBA002,7.2
183,24,1,7,21000,520,803,0,NBA002,6.3
184,47,1,29,103375,4172.5,4172.5,1,NBA018,25.3
185,41,3,2,15000,1961,1984,1,NBA000,26.3
186,26,2,6,45000,4172.5,4172.5,0,NBA007,26
187,48,1,3,24000,764,916,0,NBA007,7
188,37,1,13,24000,602,1534,0,NBA005,8.9
189,37,1,20,41000,899,4172.5,,NBA013,12.9
190,46,3.5,7,73000,556,247,,NBA016,1.1
191,30,1,8,27000,3744,1737,,NBA011,20.3
192,47,1,15,30000,2212,4172.5,0,NBA001,24.5
193,37,3,16,75000,22,53,,NBA008,0.1
194,37,2,0,31000,118,161,1,NBA013,0.9
195,40,2,15,73000,1033,1449,0,NBA016,3.4
196,35,3,5,30000,1526,1654,,NBA013,10.6
197,21,2,0,16000,150,938,0,NBA001,6.8
198,52,1,24,64000,3930,2470,0,NBA014,10
199,47,3,16,103375,4172.5,4172.5,1,NBA026,17.6
200,41,3,0,26000,99,343,0,NBA021,1.7
201,47,1,27,103375,2381,4172.5,0,NBA008,9.2
202,38,2,0,21000,612,354,,NBA018,4.6
203,22,3,1,25000,1977,1473,1,NBA003,13.8
204,39,1,8,21000,276,564,0,NBA000,4
205,45,1,8,27000,416,286,,NBA025,2.6
206,51,1,10,44000,4172.5,848,1,NBA001,13.2
207,33,2,10,26000,31,775,0,NBA004,3.1
208,43,1,25,103375,1636,4172.5,0,NBA016,2.6
209,40,1,22,95000,633,2787,0,NBA004,3.6
210,27,3.5,2,23000,320,991,1,NBA008,5.7
211,31,1,11,25000,141,2134,0,NBA008,9.1
212,34,1,10,48000,264,2184,,NBA012,5.1
213,37,1,9,57000,1357,1778,0,NBA008,5.5
214,44,3.5,18,78000,565,215,,NBA023,1
215,42,1,3,24000,667,1877,0,NBA010,10.6
216,25,1,3,16000,1011,1837,1,NBA002,17.8
217,39,2,7,68000,1017,4172.5,1,NBA002,13
218,26,3.5,1,64000,4172.5,4172.5,,NBA006,23.3
219,36,1,19,45000,920,4172.5,,NBA008,12.1
220,48,1,15,60000,321,939,0,NBA005,2.1
221,21,2,0,21000,488,2137,1,NBA002,12.5
222,40,3,17,103375,2561,4172.5,0,NBA011,6
223,31,2,9,30000,602,1138,0,NBA001,5.8
224,23,3.5,0,23000,468,1073,0,NBA002,6.7
225,31,1,6,21000,729,1014,0,NBA009,8.3
226,31,1,7,23000,225,902,0,NBA010,4.9
227,50,3,18,102000,4172.5,4172.5,0,NBA027,14.1
228,29,1,1,31000,156,2324,0,NBA008,8
229,37,3,5,29000,1405,4172.5,0,NBA017,24.6
230,46,1,16,52000,3032,3676,1,NBA018,12.9
231,39,1,9,35000,233,1517,0,NBA006,5
232,34,1,14,28000,1138,3622,0,NBA008,17
233,27,1,11,56000,4172.5,4172.5,0,NBA008,16.9
234,23,1,6,15000,1375,530,,NBA002,12.7
235,41,1,24,83000,4172.5,4172.5,0,NBA012,14
236,29,1,1,18000,30,168,0,NBA001,1.1
237,44,1,19,40000,344,4016,,NBA009,10.9
238,24,2,0,15000,321,2094,1,NBA002,16.1
239,32,3,9,51000,2686,4172.5,0,NBA010,23
240,23,2,3,34000,262,1234,0,NBA004,4.4
241,31,1,4,28000,291,2873,0,NBA010,11.3
242,36,1,15,39000,686,562,0,NBA010,3.2
243,25,1,3,31000,881,1630,,NBA005,8.1
244,26,1,10,32000,126,1378,0,NBA002,4.7
245,43,1,4,26000,751,1095,,NBA011,7.1
246,47,1,29,103375,349,3369,,NBA020,2.2
247,43,1,10,69000,411,4005,0,NBA009,6.4
248,37,1,18,54000,4172.5,1941,0,NBA008,12.1
249,35,3.5,10,45000,1040,2785,,NBA012,8.5
250,28,3.5,1,26000,377,2847,0,NBA003,12.4
251,28,1,8,30000,613,1547,0,NBA006,7.2
252,26,3,2,37000,205,4172.5,0,NBA001,14.2
253,39,1,10,31000,185,1303,0,NBA004,4.8
254,34,2,3,21000,1402,3449,0,NBA008,23.1
255,51,3,16,82000,2605,1003,0,NBA025,4.4
256,28,2,3,41000,4172.5,4172.5,1,NBA004,25.1
257,39,1,20,39000,774,2424,0,NBA012,8.2
258,23,1,3,19000,279,1317,1,NBA000,8.4
259,23,1,3,13000,46,357,,NBA004,3.1
260,21,1,4,26000,1421,893,0,NBA000,8.9
261,40,1,3,23000,409,1178,0,NBA013,6.9
262,26,3.5,1,92000,4172.5,4172.5,,NBA005,13
263,32,2,12,54000,3196,4172.5,0,NBA001,14.4
264,29,3,3,50000,259,941,1,NBA003,2.4
265,43,1,25,64000,951,4172.5,0,NBA021,16.7
266,55,1,3,40000,563,2637,1,NBA011,8
267,30,1,12,40000,1249,1551,,NBA004,7
268,38,3,15,63000,4172.5,3351,0,NBA018,13.4
269,40,1,2,28000,185,1803,0,NBA003,7.1
270,43,1,12,38000,129,1239,0,NBA011,3.6
271,35,2,1,24000,591,2409,1,NBA008,12.5
272,24,1,8,24000,382,818,0,NBA004,5
273,35,1,11,40000,572,588,,NBA009,2.9
274,39,2,18,47000,1565,2007,,NBA018,7.6
275,41,2,5,25000,393,2157,0,NBA005,10.2
276,28,1,2,17000,199,226,1,NBA002,2.5
277,24,2,2,28000,1787,3057,1,NBA000,17.3
278,40,3,3,55000,1751,4172.5,1,NBA015,16.5
279,29,1,8,27000,402,2244,0,NBA006,9.8
280,26,2,4,28000,226,2434,0,NBA003,9.5
281,27,1,5,26000,130,182,,NBA005,1.2
282,50,1,30,103375,4172.5,4172.5,,NBA008,26.85
283,41,1,15,103375,2659,821,0,NBA014,2.9
284,26,1,0,14000,256,1214,0,NBA000,10.5
285,48,1,22,100000,3704,4172.5,0,NBA015,9.1
286,35,2,1,24000,417,1455,,NBA011,7.8
287,35,1,15,77000,4172.5,2661,0,NBA001,10.6
288,23,1,7,31000,338,1708,0,NBA002,6.6
289,39,2,20,101000,341,1073,0,NBA017,1.4
290,38,1,21,58000,4172.5,4172.5,0,NBA016,16.5
291,30,1,4,33000,500,886,0,NBA000,4.2
292,44,2,8,43000,555,1595,,NBA018,5
293,33,1,0,23000,77,130,0,NBA012,0.9
294,34,1,15,39000,4172.5,4172.5,1,NBA002,24.7
295,27,2,6,34000,238,1258,0,NBA001,4.4
296,30,1,1,22000,1139,1171,0,NBA010,10.5
297,27,2,1,20000,377,1683,1,NBA000,10.3
298,29,1,9,30000,155,2305,0,NBA008,8.2
299,25,3.5,1,34000,133,2757,1,NBA001,8.5
300,41,1,23,91000,573,4172.5,0,NBA002,13.7
301,42,2,11,73000,2869,2095,0,NBA005,6.8
302,38,3,12,64000,895,2817,0,NBA018,5.8
303,23,1,5,17000,302,1041,0,NBA002,7.9
304,33,1,2,24000,1041,1263,0,NBA010,9.6
305,31,1,2,22000,1739,1869,1,NBA002,16.4
306,37,2,6,62000,1186,4084,0,NBA013,8.5
307,40,1,10,45000,2013,4172.5,0,NBA015,18.8
308,31,1,3,16000,3065,2103,,NBA005,26.85
309,35,2,3,40000,1803,4172.5,1,NBA011,17.2
310,38,1,6,41000,266,3383,0,NBA000,8.9
311,30,2,8,56000,333,3251,0,NBA004,6.4
312,30,1,1,17000,746,1124,0,NBA008,11
313,44,1,2,22000,1092,1020,,NBA015,9.6
314,29,2,3,15000,147,243,0,NBA008,2.6
315,39,1,19,45000,916,749,0,NBA016,3.7
316,26,1,0,17000,142,708,,NBA005,5
317,36,1,5,27000,724,1166,,NBA002,7
318,31,2,0,27000,1089,2367,1,NBA004,12.8
319,38,2,12,40000,898,1142,,NBA014,5.1
320,38,1,0,23000,898,965,1,NBA008,8.1
321,41,3,13,91000,2316,4172.5,1,NBA013,25.2
322,41,2,2,30000,113,1897,0,NBA022,6.7
323,45,3,5,94000,3612,4172.5,1,NBA017,10.5
324,24,1,4,23000,242,885,,NBA001,4.9
325,22,1,4,16000,84,108,0,NBA001,1.2
326,34,1,13,56000,864,2552,0,NBA008,6.1
327,25,1,0,18000,514,2888,1,NBA002,18.9
328,29,2,6,18000,450,468,1,NBA007,5.1
329,35,2,13,103375,1418,577,0,NBA003,1.9
330,39,1,19,48000,1930,4172.5,0,NBA005,13.1
331,34,1,17,59000,1808,2912,0,NBA003,8
332,44,2,21,103375,3192,4172.5,0,NBA014,13.2
333,23,2,0,21000,776,1618,1,NBA002,11.4
334,46,1,6,31000,1986,1796,0,NBA019,12.2
335,41,3.5,9,47000,437,1913,0,NBA013,5
336,52,1,9,24000,802,3806,1,NBA011,19.2
337,23,1,1,17000,12,260,0,NBA000,1.6
338,48,1,28,70000,4172.5,4066,0,NBA025,12
339,35,1,10,24000,1084,4028,,NBA003,21.3
340,53,2,16,44000,1333,1131,0,NBA031,5.6
341,39,3,11,39000,2561,2470,0,NBA017,12.9
342,37,1,20,56000,543,521,0,NBA002,1.9
343,34,1,12,32000,239,625,,NBA015,2.7
344,49,2,2,20000,379,3001,1,NBA013,16.9
345,39,1,23,75000,3133,4172.5,0,NBA001,18.9
346,42,2,7,41000,941,945,0,NBA023,4.6
347,28,2,1,16000,574,1778,0,NBA004,14.7
348,27,3,5,75000,2207,2518,0,NBA001,6.3
349,24,1,2,21000,25,101,0,NBA001,0.6
350,34,1,5,33000,778,1631,0,NBA003,7.3
351,47,1,31,103375,4172.5,4172.5,1,NBA009,23.1
352,26,3.5,1,27000,312,471,0,NBA007,2.9
353,35,1,17,42000,93,1167,0,NBA004,3
354,31,1,6,33000,146,1240,0,NBA012,4.2
355,29,1,13,27000,69,552,0,NBA007,2.3
356,44,1,9,33000,546,1170,0,NBA020,5.2
357,40,2,13,102000,4172.5,4172.5,1,NBA011,18.9
358,36,3.5,1,30000,324,3126,0,NBA017,11.5
359,32,3,6,22000,385,1089,,NBA012,6.7
360,21,1,1,18000,159,2955,0,NBA001,17.3
361,42,3.5,15,103375,2404,4172.5,0,NBA008,3.6
362,37,2,4,20000,174,4166,1,NBA011,21.7
363,24,1,6,21000,108,984,0,NBA002,5.2
364,24,3.5,0,29000,590,1324,1,NBA003,6.6
365,46,3,4,73000,2223,1719,0,NBA017,5.4
366,28,1,2,16000,871,1561,0,NBA009,15.2
367,41,1,16,68000,448,3224,0,NBA017,5.4
368,46,3.5,15,103375,477,3429,0,NBA000,3.1
369,51,2,22,103375,4140,4172.5,0,NBA023,7.6
370,36,1,17,54000,727,1649,0,NBA006,4.4
371,25,1,1,20000,472,868,1,NBA000,6.7
372,27,2,3,33000,1633,2723,0,NBA005,13.2
373,43,1,23,72000,1182,4172.5,0,NBA019,7.6
374,53,1,6,27000,594,1134,1,NBA007,6.4
375,32,1,4,16000,894,3666,1,NBA003,26.85
376,36,1,0,25000,2778,2147,0,NBA013,19.7
377,29,2,9,30000,3646,2864,,NBA008,21.7
378,35,1,18,42000,205,2903,0,NBA002,7.4
379,32,2,0,18000,296,748,1,NBA006,5.8
380,25,2,1,14000,233,1153,,NBA003,9.9
381,42,1,2,30000,1472,1438,0,NBA016,9.7
382,25,1,9,20000,105,595,0,NBA002,3.5
383,20,3,0,17000,44,347,0,NBA001,2.3
384,50,1,4,23000,141,2734,0,NBA004,12.5
385,46,2,22,103375,3325,4172.5,0,NBA017,11.1
386,33,1,15,32000,491,1941,0,NBA003,7.6
387,43,1,19,79000,782,4172.5,0,NBA011,7.5
388,30,2,4,21000,492,3351,0,NBA004,18.3
389,34,1,3,36000,624,1068,0,NBA014,4.7
390,37,1,3,25000,276,649,0,NBA003,3.7
391,38,1,4,19000,1245,1339,0,NBA009,13.6
392,32,2,11,57000,4172.5,4172.5,1,NBA004,23.8
393,39,1,15,39000,140,562,0,NBA016,1.8
394,31,1,7,41000,2996,4172.5,1,NBA011,26.85
395,25,1,5,22000,403,1995,0,NBA005,10.9
396,31,2,12,44000,1867,2357,,NBA008,9.6
397,29,2,0,23000,1242,598,,NBA007,8
398,45,2,21,103375,2558,1402,0,NBA026,3
399,39,1,4,38000,1178,1292,0,NBA009,6.5
400,34,1,4,23000,617,671,,NBA006,5.6
401,24,2,3,24000,2173,2411,0,NBA001,19.1
402,30,1,10,19000,336,500,0,NBA002,4.4
403,30,1,0,19000,624,2530,1,NBA008,16.6
404,27,1,0,18000,583,1721,0,NBA007,12.8
405,31,1,5,25000,1177,2348,0,NBA003,14.1
406,47,3,9,52000,2540,4172.5,1,NBA001,20.1
407,47,2,4,33000,1195,1148,1,NBA009,7.1
408,45,2,15,51000,1551,4172.5,0,NBA014,18.1
409,31,3.5,7,97000,1827,3993,,NBA012,6
410,45,1,7,29000,739,1030,,NBA017,6.1
411,29,1,12,40000,1632,1048,0,NBA002,6.7
412,36,2,12,60000,1721,3019,0,NBA013,7.9
413,29,2,10,44000,3703,4172.5,0,NBA008,18.1
414,39,1,2,22000,1916,3166,1,NBA015,23.1
415,22,2,0,35000,781,2369,1,NBA001,9
416,46,1,14,35000,1349,2221,0,NBA025,10.2
417,38,1,21,65000,2533,4172.5,,NBA017,16.8
418,37,1,1,24000,1801,1823,1,NBA003,15.1
419,42,1,12,51000,2412,4172.5,0,NBA011,21.4
420,36,1,4,25000,144,856,,NBA017,4
421,34,1,18,53000,840,4172.5,0,NBA010,10.5
422,38,3,12,63000,4172.5,4172.5,1,NBA014,16
423,27,1,11,21000,915,1479,,NBA001,11.4
424,35,2,9,30000,650,1630,0,NBA016,7.6
425,48,1,10,70000,4172.5,4172.5,,NBA000,26.85
